# N(H) (cm^-2)	Tdust[K]	PEheating	H2 vib deexc.	H2 form	dust-gas coll.	OI cooling	CII  cooling	CO  cooling	CI  cooling
2.4725993714201345e-6	9.833298702938061e-6
3.3913799153132765e21	41.44456957041472	1.796084737424889e-18	2.8286032242286478e-21	1.1489105971775216e-20	-1.6187080067001454e-20	-1.4740032762698142e-18	-3.149361884542763e-19	-5.798682418601883e-21	-2.0850933136268665e-22
3.493055816822497e21	41.19922071099282	1.6765881416983022e-18	2.141632921882875e-21	1.1286484410980489e-20	-1.556114209201803e-20	-1.3578926963939438e-18	-3.0900860607616874e-19	-7.974408071578276e-21	-2.234217634682767e-22
3.594731718318651e21	40.953872136607764	1.5568974240796392e-18	1.6243440760166747e-21	1.1115739841119262e-20	-1.4772329794121867e-20	-1.2417109764828767e-18	-3.0235521154049246e-19	-1.1101768241779017e-20	-2.4023649268555495e-22
3.696407619801174e21	40.70852356222272	1.4370163142556209e-18	1.2342290280446994e-21	1.0942689905358584e-20	-1.3928786515681947e-20	-1.1250213807166833e-18	-2.9468324983220133e-19	-1.5696852074697202e-20	-2.5911638084819283e-22
3.7980835212700617e21	40.46317441776395	1.316949350317397e-18	9.396060161074512e-22	1.0762080484879102e-20	-1.3024003313861855e-20	-1.0073747176238241e-18	-2.855378554949187e-19	-2.262013601357723e-20	-2.800156263350273e-22
3.8997594227265965e21	40.21782393711805	1.196704845505673e-18	7.167808838298157e-22	1.0548714706067788e-20	-1.2047522239001646e-20	-8.880094987799871e-19	-2.7415632171389557e-19	-3.332211274703415e-20	-3.023191581091601e-22
4.00143532417371e21	39.972474792659284	1.0762967939999286e-18	5.4798946708705435e-22	1.0260903333274175e-20	-1.098286348024395e-20	-7.657581150894158e-19	-2.5923619564951487e-19	-5.0174408163104406e-20	-3.240279712615773e-22
4.10311122561571e21	39.72712564820051	9.557458578046224e-19	4.1988568473504286e-22	9.826556066347443e-21	-9.806344649355493e-21	-6.392583670112246e-19	-2.386533034179776e-19	-7.652940400993535e-20	-3.4019657716639546e-22
4.204787127056173e21	39.48177650374174	8.35072183763188e-19	3.224493887361371e-22	9.133443907659302e-21	-8.494066689395926e-21	-5.084157872674407e-19	-2.095928182939558e-19	-1.1515965068660153e-19	-3.4121467453284947e-22
4.306463028494021e21	39.23642735928297	7.142659818687769e-19	2.482367464165686e-22	8.074857889242558e-21	-7.0535270134357e-21	-3.783751269027023e-19	-1.7058417647188762e-19	-1.6242580878134675e-19	-3.1562166608211862e-22
4.4081389299202334e21	38.99107801878452	5.932602101509839e-19	1.9179315325881084e-22	6.6603929969930665e-21	-5.559544817955229e-21	-2.615835945557597e-19	-1.2560836645524815e-19	-2.0219940805499615e-19	-2.6347283733167724e-22
4.509814831315643e21	38.74572887432575	4.719927001196933e-19	1.4896637273270362e-22	5.146508627460858e-21	-4.1004302745441426e-21	-1.6874960641756099e-19	-8.374531874522046e-20	-2.151997619513869e-19	-2.0452397173841346e-22
4.6114907326455627e21	38.500379729866985	3.5048548791671465e-19	1.1632945120119466e-22	3.8093949406028094e-21	-2.6717011762164273e-21	-9.968268116599142e-20	-5.154407027942585e-20	-1.9545510407453666e-19	-1.6074645713638725e-22
4.713166633843635e21	38.25641475830716	2.2962047568152047e-19	9.092223946170177e-23	2.7443463470719186e-21	-1.1487192913027061e-21	-4.813975487887376e-20	-2.8779785076406034e-20	-1.5030136681514798e-19	-1.40387869066422e-22
4.814842534765204e21	38.183459467865525	2.1463656367252648e-19	7.518838396766845e-23	2.3250453864109057e-21	-1.1843554429314462e-21	-4.615850084748485e-20	-2.3452765457933687e-20	-1.4209306966667736e-19	-1.1394272093421085e-22
4.916518435664792e21	38.110503995150324	1.9966351662717032e-19	6.307437094448741e-23	2.0484147629623e-21	-1.1633327085594183e-21	-4.4136797409614093e-20	-2.0006679501993955e-20	-1.3231914390487454e-19	-9.988837219998072e-23
5.018194336540107e21	38.03754651989043	1.8470229947982877e-19	5.372330880037533e-23	1.856278736283219e-21	-1.116482360499264e-21	-4.17787771282808e-20	-1.7602773107575436e-20	-1.220056168207751e-19	-9.25555244334305e-23
5.119870237385992e21	37.96459132492542	1.697487911776544e-19	4.649080741761838e-23	1.713664874492022e-21	-1.0414570848133813e-21	-3.901507707047781e-20	-1.5782932087077286e-20	-1.1163712375007638e-19	-8.9179034673607e-23
5.221546138195453e21	37.891635574460025	1.547984644202192e-19	4.0883639827591235e-23	1.6005913242372549e-21	-9.37780671255406e-22	-3.58629733701284e-20	-1.42913510083833e-20	-1.014239915258048e-19	-8.837586293216364e-23
5.323222038959097e21	37.818679823994636	1.3984765782739446e-19	3.6521740744828576e-23	1.5049272080841735e-21	-8.053010939410307e-22	-3.237443979379969e-20	-1.2978788600128653e-20	-9.144525232531908e-20	-8.9446732521099e-23
5.424897939665966e21	37.745724073529246	1.248936894197709e-19	3.3111091036529424e-23	1.4189703677403179e-21	-6.435057882941073e-22	-2.86150137205065e-20	-1.1753237926664382e-20	-8.17161791586546e-20	-9.206326686721146e-23
5.526573840302944e21	37.67276826477051	1.0993466535575086e-19	3.0423279122630363e-23	1.3379163090803833e-21	-4.511852826621621e-22	-2.4656970898406373e-20	-1.0555012667337996e-20	-7.221970463693303e-20	-9.613595995345313e-23
5.628249740854353e21	37.599812514305114	9.496928494991472e-20	2.8279269932288095e-23	1.2563040582214532e-21	-2.259107857275418e-22	-2.0575211448747317e-20	-9.34269425949868e-21	-6.291693863706612e-20	-1.0179362353555066e-22
5.729925641301296e21	37.526856763839724	7.999666248228352e-20	2.653634293482712e-23	1.1720451267189217e-21	3.646939577344662e-23	-1.6450757552731416e-20	-8.085409063643156e-21	-5.3764471284797896e-20	-1.0939204074152478e-22
