     200   number of z grid-points
          13          12   important heating & cooling processes
      32   number of CO lines
        N<H>       Tdust        Tgas           H          H2          e-           O          C+           C          CO          CH         CH4          OH         H2O
 1.01260E+20 9.61251E+01 2.91234E+03 3.15965E+05 3.51915E+00 5.61107E+01 9.27790E+01 2.84293E+01 5.17994E-03 5.19630E-03 1.84938E-07 7.15261E-23 1.83351E+00 1.33160E-05
 1.08540E+20 9.56004E+01 2.89516E+03 3.15965E+05 3.87271E+00 5.53713E+01 9.27243E+01 2.84286E+01 5.52957E-03 5.56701E-03 2.12301E-07 1.08188E-22 1.88607E+00 1.51228E-05
 1.16343E+20 9.50467E+01 2.87808E+03 3.15965E+05 4.30519E+00 5.46327E+01 9.26648E+01 2.84277E+01 5.92414E-03 5.98647E-03 2.44929E-07 1.69390E-22 1.94322E+00 1.73313E-05
 1.24707E+20 9.44676E+01 2.86111E+03 3.15964E+05 4.84265E+00 5.38971E+01 9.26001E+01 2.84268E+01 6.37116E-03 6.46287E-03 2.84070E-07 2.75969E-22 2.00543E+00 2.00716E-05
 1.33672E+20 9.38618E+01 2.84423E+03 3.15963E+05 5.52311E+00 5.31662E+01 9.25296E+01 2.84257E+01 6.87967E-03 7.00613E-03 3.31334E-07 4.70913E-22 2.07325E+00 2.35330E-05
 1.43282E+20 9.32286E+01 2.82657E+03 3.15962E+05 6.40406E+00 5.24416E+01 9.24531E+01 2.84245E+01 7.46060E-03 7.62706E-03 3.89773E-07 8.50970E-22 2.14694E+00 2.80219E-05
 1.53583E+20 9.25680E+01 2.80990E+03 3.15960E+05 7.57379E+00 5.17258E+01 9.23691E+01 2.84231E+01 8.12779E-03 8.34285E-03 4.60418E-07 1.63737E-21 2.22787E+00 3.39456E-05
 1.64624E+20 9.19216E+01 2.79420E+03 3.15957E+05 9.17588E+00 5.10201E+01 9.22767E+01 2.84214E+01 8.89794E-03 9.17181E-03 5.46469E-07 3.40213E-21 2.31687E+00 4.20247E-05
 1.76459E+20 9.12065E+01 2.77772E+03 3.15953E+05 1.14586E+01 5.03242E+01 9.21759E+01 2.84196E+01 9.79260E-03 1.01346E-02 6.55570E-07 7.82740E-21 2.41418E+00 5.35876E-05
 1.89145E+20 9.04591E+01 2.75960E+03 3.15947E+05 1.48714E+01 4.96385E+01 9.20663E+01 2.84174E+01 1.08374E-02 1.12563E-02 7.97784E-07 2.05381E-20 2.52030E+00 7.10434E-05
 2.02743E+20 8.96801E+01 2.74074E+03 3.15936E+05 2.02907E+01 4.89603E+01 9.19464E+01 2.84148E+01 1.20676E-02 1.25736E-02 9.84620E-07 6.37155E-20 2.63675E+00 9.91391E-05
 2.17319E+20 8.88668E+01 2.71859E+03 3.15918E+05 2.96078E+01 4.82818E+01 9.18170E+01 2.84117E+01 1.35285E-02 1.41238E-02 1.24646E-06 2.49549E-19 2.76337E+00 1.48665E-04
 2.32942E+20 8.80180E+01 2.69051E+03 3.15883E+05 4.73895E+01 4.75835E+01 9.16797E+01 2.84080E+01 1.52848E-02 1.59517E-02 1.64542E-06 1.35855E-18 2.89960E+00 2.46750E-04
 2.49688E+20 8.71336E+01 2.64869E+03 3.15805E+05 8.64551E+01 4.68179E+01 9.15421E+01 2.84036E+01 1.74392E-02 1.80912E-02 2.36829E-06 1.20522E-17 3.04084E+00 4.73863E-04
 2.67639E+20 8.62127E+01 2.57547E+03 3.15598E+05 1.89727E+02 4.58810E+01 9.14270E+01 2.83980E+01 2.02088E-02 2.05207E-02 4.15903E-06 2.21694E-16 3.17177E+00 1.11250E-03
 2.86880E+20 8.52948E+01 2.43696E+03 3.14955E+05 5.09867E+02 4.46991E+01 9.13692E+01 2.83903E+01 2.43177E-02 2.31465E-02 1.08028E-05 9.10900E-15 3.26671E+00 2.92601E-03
 3.07504E+20 8.43209E+01 2.23282E+03 3.13053E+05 1.45813E+03 4.36517E+01 9.13857E+01 2.83774E+01 3.19226E-02 2.58071E-02 4.16540E-05 4.40945E-13 3.29272E+00 7.64513E-03
 3.29611E+20 8.32901E+01 2.03720E+03 3.08872E+05 3.54342E+03 4.29414E+01 9.14816E+01 2.83542E+01 4.71081E-02 2.82906E-02 1.63499E-04 1.08367E-11 3.21612E+00 1.62059E-02
 3.53307E+20 8.22161E+01 1.86365E+03 3.01705E+05 7.12054E+03 4.20281E+01 9.16747E+01 2.83137E+01 7.58872E-02 3.03188E-02 5.25285E-04 1.18970E-10 3.02452E+00 2.72258E-02
 3.78707E+20 8.10978E+01 1.69938E+03 2.90603E+05 1.26645E+04 4.05573E+01 9.19980E+01 2.82470E+01 1.26594E-01 3.13134E-02 1.40334E-03 7.25565E-10 2.69755E+00 3.77905E-02
 4.05932E+20 7.99364E+01 1.54494E+03 2.75811E+05 2.00559E+04 3.86577E+01 9.24040E+01 2.81519E+01 2.02633E-01 3.13073E-02 3.01487E-03 2.52784E-09 2.29090E+00 4.38126E-02
 4.35115E+20 7.87319E+01 1.41014E+03 2.59424E+05 2.82483E+04 3.67988E+01 9.27783E+01 2.80390E+01 2.96996E-01 3.12914E-02 5.15765E-03 5.44914E-09 1.92000E+00 4.47032E-02
 4.66396E+20 7.75476E+01 1.29788E+03 2.43196E+05 3.63642E+04 3.52689E+01 9.30703E+01 2.79167E+01 4.03645E-01 3.19922E-02 7.46627E-03 8.80908E-09 1.63282E+00 4.29771E-02
 4.99926E+20 7.62990E+01 1.20484E+03 2.27660E+05 4.41355E+04 3.40823E+01 9.32891E+01 2.77839E+01 5.23732E-01 3.35930E-02 9.76089E-03 1.25745E-08 1.41806E+00 4.05728E-02
 5.35866E+20 7.49761E+01 1.12550E+03 2.12589E+05 5.16747E+04 3.31516E+01 9.34636E+01 2.76352E+01 6.62129E-01 3.59230E-02 1.20215E-02 1.72843E-08 1.24658E+00 3.79474E-02
 5.74391E+20 7.36120E+01 1.05391E+03 1.97541E+05 5.92024E+04 3.23931E+01 9.36180E+01 2.74654E+01 8.23650E-01 3.87401E-02 1.42618E-02 2.37775E-08 1.09485E+00 3.49257E-02
 6.15684E+20 7.22056E+01 9.81313E+02 1.81380E+05 6.72863E+04 3.17358E+01 9.37934E+01 2.72759E+01 1.00829E+00 4.07134E-02 1.65271E-02 3.33535E-08 9.24571E-01 3.01368E-02
