      heat_1      heat_2      heat_3      heat_4      heat_5      heat_6      heat_7      heat_8      heat_9     heat_10     heat_11     heat_12     heat_13      cool_1      cool_2      cool_3      cool_4      cool_5      cool_6      cool_7      cool_8      cool_9     cool_10     cool_11     cool_12
 2.09259E-17 1.63772E-18 1.92184E-18 1.09712E-18 0.00000E+00 4.19851E-20 3.47553E-22 1.75765E-19 5.23633E-29 4.29599E-17 1.17872E-25 7.09220E-19 1.02399E-27 2.82320E-19 1.96078E-17 3.71932E-17 1.08050E-25 2.15776E-19 7.67206E-19 1.32342E-23 9.46880E-23 4.40107E-18 6.61960E-18 1.26450E-26 1.93375E-24
 2.08923E-17 1.65602E-18 1.92145E-18 1.09940E-18 0.00000E+00 4.20471E-20 3.47553E-22 1.69246E-19 5.25007E-29 4.29227E-17 1.16961E-25 7.11040E-19 1.01448E-27 2.82043E-19 1.95736E-17 3.71818E-17 1.08936E-25 2.16418E-19 7.67972E-19 1.33473E-23 9.50311E-23 4.40928E-18 6.60227E-18 1.27453E-26 1.93909E-24
 2.08561E-17 1.67457E-18 1.92110E-18 1.10169E-18 0.00000E+00 4.21142E-20 3.47554E-22 1.61244E-19 5.26158E-29 4.28814E-17 1.15618E-25 7.12894E-19 1.00131E-27 2.81698E-19 1.95396E-17 3.71688E-17 1.09903E-25 2.17097E-19 7.68679E-19 1.34676E-23 9.53939E-23 4.41854E-18 6.58424E-18 1.28519E-26 1.94458E-24
 2.08185E-17 1.69668E-18 1.92061E-18 1.10439E-18 0.00000E+00 4.21851E-20 3.47554E-22 1.52405E-19 5.26689E-29 4.28405E-17 1.13851E-25 7.15040E-19 9.83179E-28 2.81287E-19 1.94994E-17 3.71545E-17 1.10925E-25 2.17843E-19 7.69350E-19 1.35995E-23 9.57603E-23 4.42818E-18 6.56439E-18 1.29616E-26 1.94979E-24
 2.07782E-17 1.71913E-18 1.92018E-18 1.10711E-18 0.00000E+00 4.22618E-20 3.47554E-22 1.44121E-19 5.27540E-29 4.27952E-17 1.12147E-25 7.17223E-19 9.65481E-28 2.80884E-19 1.94593E-17 3.71403E-17 1.12042E-25 2.18632E-19 7.69930E-19 1.37405E-23 9.61716E-23 4.43856E-18 6.54377E-18 1.30832E-26 1.95571E-24
 2.07348E-17 1.74193E-18 1.91980E-18 1.10978E-18 0.00000E+00 4.23447E-20 3.47554E-22 1.69289E-19 5.34674E-29 4.27451E-17 1.16334E-25 7.19408E-19 9.94747E-28 2.81305E-19 1.94192E-17 3.71525E-17 1.13261E-25 2.19461E-19 7.70399E-19 1.38978E-23 9.68795E-23 4.44398E-18 6.52235E-18 1.32612E-26 1.96766E-24
 2.06882E-17 1.76509E-18 1.91949E-18 1.11250E-18 0.00000E+00 4.24342E-20 3.47554E-22 1.86657E-19 5.64406E-29 4.26900E-17 1.29068E-25 7.21652E-19 1.12642E-27 2.82765E-19 1.93793E-17 3.71593E-17 1.14587E-25 2.20342E-19 7.70749E-19 1.40793E-23 9.78142E-23 4.44922E-18 6.50007E-18 1.35483E-26 1.99554E-24
 2.06397E-17 1.79211E-18 1.91906E-18 1.11566E-18 0.00000E+00 4.25293E-20 3.47555E-22 1.83832E-19 5.71595E-29 4.26344E-17 1.29520E-25 7.24217E-19 1.13136E-27 2.82578E-19 1.93334E-17 3.71481E-17 1.16006E-25 2.21307E-19 7.71018E-19 1.42598E-23 9.84102E-23 4.46065E-18 6.47582E-18 1.37291E-26 2.00682E-24
 2.05877E-17 1.81961E-18 1.91871E-18 1.11886E-18 0.00000E+00 4.26320E-20 3.47555E-22 1.73459E-19 5.75348E-29 4.25733E-17 1.28276E-25 7.26841E-19 1.11978E-27 2.82177E-19 1.92876E-17 3.71304E-17 1.17560E-25 2.22331E-19 7.71167E-19 1.44509E-23 9.90003E-23 4.47447E-18 6.45065E-18 1.39110E-26 2.01653E-24
 2.05335E-17 1.85166E-18 1.91822E-18 1.12251E-18 0.00000E+00 4.27412E-20 3.47555E-22 1.66347E-19 5.80705E-29 4.25116E-17 1.27970E-25 7.29810E-19 1.11609E-27 2.81885E-19 1.92350E-17 3.71146E-17 1.19218E-25 2.23450E-19 7.71213E-19 1.46621E-23 9.96566E-23 4.48808E-18 6.42332E-18 1.41144E-26 2.02791E-24
 2.04772E-17 1.88896E-18 1.91759E-18 1.12670E-18 0.00000E+00 4.28572E-20 3.47555E-22 1.54391E-19 5.80972E-29 4.24496E-17 1.24850E-25 7.33170E-19 1.08255E-27 2.81230E-19 1.91750E-17 3.70938E-17 1.20990E-25 2.24674E-19 7.71156E-19 1.48904E-23 1.00265E-22 4.50345E-18 6.39366E-18 1.43055E-26 2.03609E-24
 2.04152E-17 1.92239E-18 1.91727E-18 1.13042E-18 0.00000E+00 4.29845E-20 3.47556E-22 1.49188E-19 5.90855E-29 4.23756E-17 1.25936E-25 7.36260E-19 1.09448E-27 2.81089E-19 1.91229E-17 3.70786E-17 1.22978E-25 2.25931E-19 7.70901E-19 1.51358E-23 1.01090E-22 4.51904E-18 6.36426E-18 1.45646E-26 2.05179E-24
 2.03524E-17 1.96607E-18 1.91660E-18 1.13515E-18 0.00000E+00 4.31181E-20 3.47556E-22 1.40970E-19 5.96269E-29 4.23065E-17 1.24908E-25 7.40079E-19 1.08175E-27 2.80675E-19 1.90557E-17 3.70595E-17 1.25064E-25 2.27344E-19 7.70563E-19 1.54087E-23 1.01872E-22 4.53530E-18 6.33118E-18 1.48158E-26 2.06476E-24
 2.02835E-17 2.00593E-18 1.91626E-18 1.13943E-18 0.00000E+00 4.32642E-20 3.47556E-22 1.38039E-19 6.05646E-29 4.22247E-17 1.25537E-25 7.43638E-19 1.08623E-27 2.80456E-19 1.89964E-17 3.70445E-17 1.27403E-25 2.28801E-19 7.70008E-19 1.56980E-23 1.02818E-22 4.55278E-18 6.29825E-18 1.51133E-26 2.08147E-24
 2.02100E-17 2.04671E-18 1.91603E-18 1.14366E-18 0.00000E+00 4.34217E-20 3.47557E-22 1.83950E-19 6.53278E-29 4.21358E-17 1.47042E-25 7.47222E-19 1.29833E-27 2.82622E-19 1.89372E-17 3.70691E-17 1.29961E-25 2.30338E-19 7.69245E-19 1.60372E-23 1.04488E-22 4.56068E-18 6.26414E-18 1.56330E-26 2.12520E-24
 2.01334E-17 2.09353E-18 1.91569E-18 1.14852E-18 0.00000E+00 4.35898E-20 3.47557E-22 1.77260E-19 6.64364E-29 4.20451E-17 1.47556E-25 7.51281E-19 1.30270E-27 2.82303E-19 1.88709E-17 3.70495E-17 1.32731E-25 2.32022E-19 7.68361E-19 1.63799E-23 1.05562E-22 4.58118E-18 6.22753E-18 1.59866E-26 2.14420E-24
 2.00536E-17 2.14677E-18 1.91526E-18 1.15392E-18 0.00000E+00 4.37694E-20 3.47557E-22 1.74555E-19 6.77606E-29 4.19525E-17 1.49188E-25 7.55764E-19 1.31605E-27 2.82088E-19 1.87973E-17 3.70319E-17 1.35729E-25 2.33854E-19 7.67306E-19 1.67580E-23 1.06743E-22 4.60191E-18 6.18841E-18 1.63790E-26 2.16544E-24
