     NH               Temp.Gaz         Ab..h            Ab..h2           Ab..c            Ab..co        
   1.08515939E+22  9.62810988E+000  4.84496503E+000  4.97575321E+002  1.63660992E-004  9.96777856E-002
   1.09451419E+22  9.64570593E+000  4.83216494E+000  4.97581724E+002  1.61783913E-004  9.96793136E-002
   1.10386899E+22  9.66319280E+000  4.82007892E+000  4.97587771E+002  1.60110341E-004  9.96806644E-002
   1.11322378E+22  9.68056525E+000  4.80867016E+000  4.97593478E+002  1.58618639E-004  9.96818584E-002
   1.12257858E+22  9.69781664E+000  4.79790111E+000  4.97598865E+002  1.57289473E-004  9.96829138E-002
   1.13193338E+22  9.71493935E+000  4.78773416E+000  4.97603951E+002  1.56105568E-004  9.96838466E-002
   1.14128818E+22  9.73192521E+000  4.77813220E+000  4.97608755E+002  1.55051487E-004  9.96846709E-002
   1.15064298E+22  9.74876575E+000  4.76905903E+000  4.97613293E+002  1.54113439E-004  9.96853991E-002
   1.15999777E+22  9.76545248E+000  4.76047970E+000  4.97617585E+002  1.53279102E-004  9.96860424E-002
   1.16935257E+22  9.78197705E+000  4.75236077E+000  4.97621646E+002  1.52537463E-004  9.96866105E-002
   1.17870737E+22  9.79833144E+000  4.74467044E+000  4.97625492E+002  1.51878680E-004  9.96871118E-002
   1.18806217E+22  9.81450805E+000  4.73737870E+000  4.97629139E+002  1.51293956E-004  9.96875541E-002
   1.19741697E+22  9.83050639E+000  4.73045595E+000  4.97632602E+002  1.50775461E-004  9.96879439E-002
   1.20677176E+22  9.84631647E+000  4.72387611E+000  4.97635892E+002  1.50316143E-004  9.96882872E-002
   1.21612656E+22  9.86192875E+000  4.71761553E+000  4.97639023E+002  1.49909695E-004  9.96885893E-002
   1.22548136E+22  9.87733778E+000  4.71165163E+000  4.97642006E+002  1.49550492E-004  9.96888549E-002
   1.23483616E+22  9.89253875E+000  4.70596331E+000  4.97644850E+002  1.49233500E-004  9.96890879E-002
   1.24419096E+22  9.90752738E+000  4.70053106E+000  4.97647567E+002  1.48954215E-004  9.96892922E-002
   1.25354575E+22  9.92229998E+000  4.69533691E+000  4.97650164E+002  1.48708606E-004  9.96894708E-002
   1.26290055E+22  9.93685336E+000  4.69036435E+000  4.97652650E+002  1.48493064E-004  9.96896268E-002
   1.27225535E+22  9.95118484E+000  4.68559820E+000  4.97655034E+002  1.48304358E-004  9.96897626E-002
   1.28161015E+22  9.96529220E+000  4.68102453E+000  4.97657320E+002  1.48139595E-004  9.96898805E-002
   1.29096495E+22  9.97917366E+000  4.67663060E+000  4.97659517E+002  1.47996184E-004  9.96899825E-002
   1.30031975E+22  9.99282781E+000  4.67240475E+000  4.97661630E+002  1.47871804E-004  9.96900704E-002
   1.30967454E+22  1.00062536E+001  4.66833629E+000  4.97663664E+002  1.47764376E-004  9.96901459E-002
   1.31918790E+22  1.00197139E+001  4.66435825E+000  4.97665652E+002  1.47670807E-004  9.96902111E-002
   1.32870125E+22  1.00329876E+001  4.66049818E+000  4.97667582E+002  1.47591300E-004  9.96902660E-002
   1.33821461E+22  1.00460232E+001  4.65676910E+000  4.97669446E+002  1.47524068E-004  9.96903121E-002
   1.34772796E+22  1.00588214E+001  4.65316689E+000  4.97671247E+002  1.47467716E-004  9.96903502E-002
   1.35724131E+22  1.00713813E+001  4.64968483E+000  4.97672988E+002  1.47420986E-004  9.96903814E-002
   1.36675467E+22  1.00837036E+001  4.64631649E+000  4.97674671E+002  1.47382755E-004  9.96904064E-002
   1.37626802E+22  1.00957912E+001  4.64305556E+000  4.97676301E+002  1.47352032E-004  9.96904261E-002
   1.38578138E+22  1.01076421E+001  4.63989698E+000  4.97677880E+002  1.47327906E-004  9.96904411E-002
   1.39529473E+22  1.01192617E+001  4.63683525E+000  4.97679410E+002  1.47309594E-004  9.96904520E-002
   1.40480808E+22  1.01306485E+001  4.63386602E+000  4.97680894E+002  1.47296368E-004  9.96904593E-002
   1.41432144E+22  1.01418024E+001  4.63098553E+000  4.97682334E+002  1.47287579E-004  9.96904634E-002
   1.42383479E+22  1.01527244E+001  4.62819012E+000  4.97683731E+002  1.47282654E-004  9.96904649E-002
   1.43334815E+22  1.01634161E+001  4.62547633E+000  4.97685088E+002  1.47281081E-004  9.96904640E-002
