     120   number of z grid-points
      38   number of CO lines
        N<H>       Tdust        Tgas           H          H2          e-           O          C+           C          CO          CH         CH4          OH         H2O
 7.19251E+23 2.00000E+01 7.29004E+02 9.12063E+02 4.24502E+01 3.80999E+00 2.98150E-01 2.82172E-03 9.71650E-02 1.03925E-05 2.03352E-08 1.08994E-16 6.26658E-04 6.43832E-06
 8.56073E+23 2.00000E+01 5.41416E+02 8.77180E+02 6.05927E+01 2.14946E+00 2.97927E-01 3.85849E-03 9.61112E-02 2.93605E-05 2.13285E-08 1.10818E-15 1.25960E-03 2.64615E-05
 1.01892E+24 2.00000E+01 3.81661E+02 8.11917E+02 9.36575E+01 1.04322E+00 2.96283E-01 6.25571E-03 9.36098E-02 1.34271E-04 3.19934E-08 2.22262E-14 3.00779E-03 1.29425E-04
 1.21275E+24 2.00000E+01 2.62418E+02 6.77132E+02 1.61291E+02 3.94761E-01 2.88259E-01 1.66702E-02 8.16135E-02 1.71485E-03 8.75407E-08 1.15559E-12 8.80488E-03 7.16456E-04
 1.44345E+24 2.00000E+01 1.91307E+02 4.72435E+02 2.63727E+02 1.51860E-01 2.52701E-01 2.40693E-02 5.09106E-02 2.49902E-02 3.39088E-07 5.41939E-11 1.84066E-02 2.02484E-03
 1.71803E+24 2.00000E+01 1.59551E+02 2.98532E+02 3.50704E+02 7.93833E-02 2.18978E-01 1.44883E-02 3.15691E-02 5.38466E-02 7.59962E-07 6.22817E-10 2.02415E-02 2.59281E-03
 2.04485E+24 2.00000E+01 1.42310E+02 1.85262E+02 4.07350E+02 5.24816E-02 2.10185E-01 9.24932E-03 2.67405E-02 6.38471E-02 1.36748E-06 3.43749E-09 1.64801E-02 2.50338E-03
 2.43384E+24 2.00000E+01 1.29423E+02 1.14029E+02 4.42973E+02 3.99851E-02 2.09248E-01 6.24212E-03 2.56641E-02 6.78772E-02 2.06591E-06 1.14996E-08 1.16031E-02 2.21917E-03
 2.89683E+24 2.00000E+01 1.18101E+02 6.95806E+01 4.65202E+02 3.30187E-02 2.09264E-01 4.13272E-03 2.48387E-02 7.07817E-02 2.66854E-06 2.65465E-08 7.62237E-03 1.96213E-03
 3.44789E+24 2.00000E+01 1.07578E+02 4.20304E+01 4.78979E+02 2.86213E-02 2.08841E-01 2.61041E-03 2.34581E-02 7.36846E-02 3.06341E-06 4.65996E-08 4.81400E-03 1.76167E-03
 4.10377E+24 2.00000E+01 9.79866E+01 2.50939E+01 4.87449E+02 2.54180E-02 2.08063E-01 1.55556E-03 2.16333E-02 7.65890E-02 3.27291E-06 6.83417E-08 2.97487E-03 1.61058E-03
 4.88442E+24 2.00000E+01 8.84166E+01 1.49573E+01 4.92519E+02 2.28019E-02 2.08747E-01 8.95784E-04 2.06840E-02 7.82340E-02 3.52878E-06 9.21612E-08 1.79050E-03 1.48159E-03
 5.81358E+24 2.00000E+01 7.96474E+01 8.97404E+00 4.95511E+02 2.01800E-02 2.09744E-01 4.94918E-04 2.02831E-02 7.90779E-02 3.89855E-06 1.25254E-07 1.09062E-03 1.48620E-03
 6.91949E+24 2.00000E+01 7.19439E+01 5.57254E+00 4.97212E+02 1.76602E-02 2.12101E-01 2.82334E-04 2.14079E-02 7.81989E-02 4.60649E-06 1.79452E-07 6.71492E-04 1.65271E-03
 8.23577E+24 2.00000E+01 6.58190E+01 3.70952E+00 4.98143E+02 1.56746E-02 2.16627E-01 1.80992E-04 2.47333E-02 7.49949E-02 5.77820E-06 2.57959E-07 4.22913E-04 1.83322E-03
 9.80244E+24 2.00000E+01 6.16769E+01 2.72703E+00 4.98634E+02 1.44350E-02 2.21827E-01 1.34894E-04 2.90140E-02 7.07695E-02 7.04623E-06 3.38533E-07 2.88947E-04 1.94006E-03
 1.16671E+25 2.00000E+01 5.94638E+01 2.23742E+00 4.98879E+02 1.37929E-02 2.25734E-01 1.14807E-04 3.23709E-02 6.74357E-02 7.92244E-06 3.93437E-07 2.24259E-04 1.98411E-03
 1.38866E+25 2.00000E+01 5.86289E+01 2.00979E+00 4.98993E+02 1.35072E-02 2.27862E-01 1.06410E-04 3.42293E-02 6.55865E-02 8.34443E-06 4.20204E-07 1.95848E-04 1.99867E-03
