# AVeff	Tgas[K]	H (cm^-3)	H2(cm^-3)	C(cm^-3)	CO(cm^-3)	AV (perpendicular) for comparison
0.3987598788746251	104.73672732929339	0.004482849136204982	0.4977585063636655	2.2312775820671549e-7	1.694112616018218e-9	0.18033655837344453
0.4196740677430859	101.51362749696973	0.004165575931259081	0.49791713907762797	2.390334553607918e-7	1.8464469858085933e-9	0.1927757506324858
0.42312999062340984	100.96827978825822	0.004114740503039159	0.49794255608324717	2.418844613567386e-7	1.8724409137729812e-9	0.19484894932547245
0.4300174318518846	99.87010345044696	0.004020360646424256	0.4979897445315343	2.4777457642868584e-7	1.9263767214184807e-9	0.19899534670584618
0.4436979052413127	97.64399584911574	0.003840048007026884	0.49807989763952865	2.603646225511889e-7	2.040081981096313e-9	0.2072881414432715
0.463995342073525	94.22847375277362	0.003594185861205913	0.49820282316162584	2.8155549719900823e-7	2.2223772631483728e-9	0.2197273334713026
0.48404328219060666	92.03574936385698	0.003364511216403655	0.4983176565740241	2.966799715800769e-7	2.404872880577823e-9	0.23216652536139168
0.5038601299233644	89.84406209531409	0.0031575157416259846	0.4984211499973555	3.130150135423029e-7	2.6005177175728703e-9	0.24460571715419252
0.5234621387669944	87.61114098956013	0.0029704286742979658	0.4985146886636024	3.310451225542134e-7	2.8108748096628316e-9	0.25704490883968223
0.542863750426517	85.33577142525407	0.0028008829270193165	0.49859945602692946	3.5103404739995747e-7	3.0371437780750866e-9	0.2694841004041456
0.5620778675848354	83.01665455853649	0.0026466674288960212	0.49867655751511436	3.73301334054562e-7	3.2806179270875147e-9	0.28192329183163123
0.581116075694167	80.65266940231307	0.0025060974574544386	0.4987468353597774	3.982375327699332e-7	3.5434803036596256e-9	0.2943624831034964
0.5999888250322394	78.24243432290326	0.0023770972513662177	0.4988113272863865	4.263245069944338e-7	3.827954147561901e-9	0.30680167419790966
0.6088981882307786	77.08153318126949	0.0023213925996127794	0.4988391753114644	4.409365860853378e-7	3.966462037396344e-9	0.31271028986966654
0.6266151006051413	74.72646331135708	0.002216011412929757	0.498891856384152	4.7300539884409094e-7	4.263930160043183e-9	0.32452752111443445
0.6451242510593062	72.83915572997093	0.0021093853506302133	0.49894516100384295	5.01527776633464e-7	4.584724036220639e-9	0.33696671166214154
0.6634970025766984	71.45804365333525	0.0020078277954808906	0.49899593317141944	5.243014600192953e-7	4.91366481837586e-9	0.34940590200075233
0.6817402878560804	70.05954339568187	0.001914168332664316	0.4990427557209783	5.489914636234816e-7	5.264009184209196e-9	0.36184509217498684
0.699860481175032	68.64337394933574	0.001827659485911559	0.49908600233960443	5.758354066315851e-7	5.637018415683293e-9	0.3742842821706328
0.7178634596454156	67.20922012258961	0.0017476682763598725	0.4991259894632185	6.051102620042923e-7	6.033994239494625e-9	0.3867234719722033
0.7357546559869957	65.75675235230536	0.001673636267789325	0.49916299625533	6.371407295063426e-7	6.456272675437997e-9	0.3991626615628766
0.7535391042781389	64.28561808294006	0.0016050649988489732	0.4991972718929445	6.723097501529761e-7	6.905218537598505e-9	0.4116018509244691
0.7712214797977033	62.79503808776561	0.0015388290014236995	0.49923037905754314	7.110694862196217e-7	7.3823500354740064e-9	0.4240410400374571
0.7888061338686444	61.28539010202554	0.0014799503473737327	0.4992598066758661	7.539694824599538e-7	7.888849459178233e-9	0.4364802288811306
0.8062971244514769	59.75572033969265	0.0014250625581698482	0.4992872379555032	8.016616556430601e-7	8.426346392453613e-9	0.44891941743354846
0.8236982431083957	58.206332618724105	0.001377682576697656	0.4993109144398918	8.549364747292482e-7	8.996301765283481e-9	0.46135860567241804
0.8410130388502792	56.63501929145115	0.0013306617098840451	0.4993344104813408	9.147756909573574e-7	9.600850855868965e-9	0.4737977935749766
0.8582448393008484	55.04174630721361	0.0012870726407258012	0.4993561898287325	9.823846737673247e-7	1.0242082948797158e-8	0.4862369811194881
0.8753967695364926	53.530435342360796	0.001246028096674219	0.4993766973158498	1.0540909600167929e-6	1.0918063993004781e-8	0.49867616828608735
0.892471768945246	52.29402052809825	0.0012060815394665354	0.4993966584063947	1.119282448553955e-6	1.1622094118943487e-8	0.5111153550847143
0.9094726063213792	51.18028794896385	0.0011679831479431526	0.4994156966683772	1.1836843684287914e-6	1.2362885587761879e-8	0.5235545415799209
0.9264018932674192	50.1276175851861	0.0011320254063690327	0.49943366535142186	1.2500883416007677e-6	1.3146084133101139e-8	0.5359937278028701
0.9432620963960809	49.11898969133575	0.0010981181100452415	0.4994506094825397	1.3193623264271216e-6	1.3975859041945696e-8	0.5484329137720964
0.953346033642265	48.53006946250434	0.0010785035128002263	0.49946041138221814	1.3626243019051873e-6	1.4498799897444851e-8	0.5558964252098723
0.9701005025258334	47.58153884714891	0.0010478309780521202	0.4994757392710739	1.4371329146814373e-6	1.5411708838621578e-8	0.5683356108075045
0.9867916981626719	46.674841888614615	0.0010186709590275273	0.49949031172995173	1.5144888556822958e-6	1.6381693013084388e-8	0.5807747961963783
1.0034216490268844	45.804124940775445	0.0009911364167639756	0.49950407226276844	1.5950695425768288e-6	1.7413774815325758e-8	0.5932139813970665
1.0199922812768203	44.964578786780216	0.0009651327933262922	0.4995170681357059	1.679266500042943e-6	1.8513447596844642e-8	0.6056531664297443
1.0365054258005966	44.15456575311367	0.0009405767804148848	0.49952934100540153	1.7672324991172584e-6	1.9686356169994946e-8	0.6180923513143428
