# NH             T_dust     hc_photo     hc_h2vib     hc_h2form    hc_gasgrain  hc_OI        hc_CII       hc_CO        hc_CI
  2.5899e-06  1.2365e-05    
  2.6697e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4923e-30  -9.8431e-25
  2.7701e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4925e-30  -9.8431e-25
  2.8742e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4928e-30  -9.8431e-25
  2.9823e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4931e-30  -9.8431e-25
  3.0945e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4933e-30  -9.8431e-25
  3.2108e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4936e-30  -9.8432e-25
  3.3316e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4938e-30  -9.8432e-25
  3.4569e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4941e-30  -9.8432e-25
  3.5869e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4943e-30  -9.8432e-25
  3.7217e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4946e-30  -9.8432e-25
  3.8617e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4949e-30  -9.8432e-25
  4.0069e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4951e-30  -9.8432e-25
  4.1576e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4954e-30  -9.8432e-25
  4.3139e+15     122.2973   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4956e-30  -9.8432e-25
  4.4762e+15     122.2973   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4959e-30  -9.8432e-25
  4.6445e+15     122.2973   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4961e-30  -9.8432e-25
  4.8192e+15     122.2973   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4964e-30  -9.8432e-25
  5.0004e+15     122.2973   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4967e-30  -9.8432e-25
  5.1884e+15     122.2973   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4969e-30  -9.8432e-25
  5.3835e+15     122.2973   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4972e-30  -9.8432e-25
  5.5860e+15     122.2973   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4974e-30  -9.8433e-25
  5.7960e+15     122.2973   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4977e-30  -9.8433e-25
  6.0140e+15     122.2973   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4979e-30  -9.8433e-25
  6.2402e+15     122.2973   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4982e-30  -9.8433e-25
  6.4748e+15     122.2973   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4985e-30  -9.8433e-25
  6.7183e+15     122.2973   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4987e-30  -9.8433e-25
  6.9709e+15     122.2973   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4990e-30  -9.8433e-25
  7.2331e+15     122.2972   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4992e-30  -9.8433e-25
  7.5051e+15     122.2972   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4995e-30  -9.8433e-25
  7.7873e+15     122.2972   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4998e-30  -9.8433e-25
  8.0802e+15     122.2972   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5000e-30  -9.8434e-25
  8.3840e+15     122.2972   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5003e-30  -9.8434e-25
  8.6993e+15     122.2972   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5005e-30  -9.8434e-25
  9.0264e+15     122.2972   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5008e-30  -9.8434e-25
  9.3659e+15     122.2972   6.7378e-17   2.9534e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5011e-30  -9.8434e-25
  9.7181e+15     122.2972   6.7378e-17   2.9534e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5013e-30  -9.8434e-25
  1.0084e+16     122.2971   6.7378e-17   2.9534e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5016e-30  -9.8434e-25
  1.0463e+16     122.2971   6.7378e-17   2.9534e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5019e-30  -9.8434e-25
  1.0856e+16     122.2971   6.7378e-17   2.9534e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5021e-30  -9.8435e-25
  1.1264e+16     122.2971   6.7378e-17   2.9534e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5024e-30  -9.8435e-25
  1.1688e+16     122.2971   6.7378e-17   2.9534e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5026e-30  -9.8435e-25
  1.2128e+16     122.2971   6.7378e-17   2.9534e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5029e-30  -9.8435e-25
  1.2584e+16     122.2971   6.7378e-17   2.9534e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5032e-30  -9.8435e-25
  1.3057e+16     122.2970   6.7378e-17   2.9534e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5034e-30  -9.8435e-25
  1.3548e+16     122.2970   6.7378e-17   2.9534e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5037e-30  -9.8435e-25
  1.4057e+16     122.2970   6.7378e-17   2.9534e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5040e-30  -9.8436e-25
  1.4586e+16     122.2970   6.7378e-17   2.9534e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5042e-30  -9.8436e-25
  1.5134e+16     122.2970   6.7378e-17   2.9534e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5045e-30  -9.8436e-25
  1.5704e+16     122.2970   6.7378e-17   2.9534e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5048e-30  -9.8436e-25
  1.6294e+16     122.2969   6.7378e-17   2.9534e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5050e-30  -9.8436e-25
  1.6907e+16     122.2969   6.7378e-17   2.9534e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5053e-30  -9.8437e-25
  1.7543e+16     122.2969   6.7378e-17   2.9534e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5056e-30  -9.8437e-25
  1.8202e+16     122.2969   6.7378e-17   2.9534e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5058e-30  -9.8437e-25
  1.8887e+16     122.2968   6.7378e-17   2.9534e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5061e-30  -9.8437e-25
  1.9597e+16     122.2968   6.7378e-17   2.9534e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5064e-30  -9.8438e-25
  2.0334e+16     122.2968   6.7378e-17   2.9535e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5067e-30  -9.8438e-25
  2.1099e+16     122.2968   6.7378e-17   2.9535e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5069e-30  -9.8438e-25
  2.1892e+16     122.2967   6.7378e-17   2.9535e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5072e-30  -9.8438e-25
  2.2715e+16     122.2967   6.7378e-17   2.9535e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5075e-30  -9.8439e-25
  2.3569e+16     122.2967   6.7378e-17   2.9535e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.5078e-30  -9.8439e-25
